Name,Price per Unit,Price per Measure,Promo,Stock
Saltaire Brewery Velocity 330ml,£1.80,£5.45 per litre,Buy 4 for £6,In stock
Saltaire Brewery Zipwire 330ml,£1.80,£5.45 per litre,Buy 4 for £6,In stock
Coach House Blueberry Classic Bitter 5.0% 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Dartmoor Legend Ale (Abv 4.4%) 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Meantime London Pale Ale 330ml,£1.85,£5.61 per litre,Buy 4 for £6,In stock
Glamorgan Jemima's Pitchfork 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Kite Cwrw Gorslas 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Acorn Yorkshire Pride 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Allendale Dirty Deeds 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
Elsie Mo 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Camden Show Off Juicy Lager 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
Evan Evans CWRW 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Clogwyn Gold 4% 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Meantime Anytime Pale Ale 330ml,£1.85,£5.61 per litre,Buy 4 for £6,In stock
Butcombe Brewing Co. Gold Golden Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Butcombe Goram 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Black Sheep Ale Bottle 500ml,£1.75,£3.50 per litre,Buy 4 for £6,Out of stock
Guinness Original Bottle 500ml,£1.75,£3.50 per litre,Buy 4 for £6,Out of stock
Dartmoor Jail Ale 4.8% 500ml,£1.85,£3.70 per litre,Buy 4 for £6,Out of stock
Blue Moon Belgian White Belgian-Style Wheat Ale 4 x 330ml,£6,45.5p per 100ml,Buy 2 for £10,Out of stock
Old Moor Porter 500ml,£1.75,£3.50 per litre,Buy 4 for £6,Out of stock
Siren Broken Dream Stout 330ml,£1.95,£5.91 per litre,Buy 4 for £6,Out of stock
Whitstable Bay Red IPA 500ml,£1.75,£3.50 per litre,Buy 4 for £6,Out of stock
Wharf Bank Tether Blond Pale Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,Out of stock
Caffrey's Premium Irish Ale 4 x 440ml,£4.75,£2.70 per litre,,In stock
Old Speckled Hen 10 x 440ml,£10,£2.27 per litre,,In stock
Vocation Brewery Brew York Chocolate Fudge Stout 440ml,£3,£6.82 per litre,,In stock
Salt Double New England Ipa 440ml,£3.50,£7.95 per litre,,In stock
Northern Monk Transient Hazy IPA 440ml,£4,£9.09 per litre,,In stock
Siren Broken Dream Breakfast Stout 440ml,£3.50,£7.95 per litre,,In stock
North Brewing Co. Sputnik American Pale Beer 330ml,£1.95,£5.91 per litre,,In stock
Wainwright The Golden Beer 4 x 500ml,£4.50,£2.25 per litre,,In stock
Greene King IPA 500ml,£1,£2.00 per litre,,In stock
Banks's Bitter Bottle 500ml,95p,£1.90 per litre,,In stock
Guinness Draught Cans 4 x 440ml,£4.75,£2.70 per litre,,In stock
Wychwood Fire Catcher 500ml,£1,£2.00 per litre,,In stock
Abbot Ale Cans 4 x 500ml,£4.50,£2.25 per litre,,In stock
Ruddles Best 500ml,£1,£2.00 per litre,,In stock
Morland's Old Golden Hen Bottle 500ml,£1.75,£3.50 per litre,,In stock
Guinness Draught Cans 10 x 440ml,£12,£2.73 per litre,,In stock
Manns Brown Ale Bottle 500ml,£1,£2.00 per litre,,In stock
Hobgoblin 4 x 500ml,£4.75,£2.38 per litre,,In stock
Old Speckled Hen Cans 4 x 500ml,£4.75,£2.38 per litre,,In stock
John Smith's Extra Smooth Ale Can 4 x 440ml,£4,£2.27 per litre,,In stock
Guinness Original Cans 12 x 440ml,£12,£2.27 per litre,,In stock
Sharp's Doom Bar Exceptional Amber Ale 4 x 500ml,£5,25p per 100ml,,In stock
Hobgoblin Gold 4 x 500g 4 x 500ml,£4.75,£2.38 per litre,,In stock
John Smith's Extra Smooth Ale Cans 10 x 440ml,£9.60,£2.18 per litre,,In stock
Newcastle Brown Ale Cans 4 x 500ml,£5,£2.50 per litre,,In stock
Hobgoblin Bottle & Branded Glass Gift Pack 500ml,£5,£10.00 per litre,,In stock
Mackeson Stout Beer Cans 4 x 330ml,£3.65,£2.77 per litre,,In stock
Whitstable Bay Pale Ale 4 x 500ml,£4.50,£2.25 per litre,,In stock
Guinness Original Cans 4 x 440ml,£4.75,£2.70 per litre,,In stock
Duvel Tripel Hop Citra (Abv 9.5%) 330ml,£2.50,75.8p per 100ml,,In stock
Brewdog Mixed 12 x 330ml,£14,35.4p per 100ml,,In stock
Brewdog Nanny State 4 x 330ml,£4.50,34.1p per 100ml,,In stock
Black Sheep Ale 4 x 440ml,£4.45,£2.53 per litre,,In stock
Shipyard American Pale Ale 4 x 440ml,£4.75,£2.70 per litre,,In stock
Brewdog Vs Northern Monk The Vermont Sessions 440ml,£3,£6.82 per litre,,In stock
Guinness Foreign Extra Stout 600ml,£3.35,£5.58 per litre,,In stock
Sharp's Doom Bar Exceptional Amber Ale 5L,£16,£3.20 per litre,,In stock
John Smith's Original Bitter Ale Cans 4 x 440ml,£4,22.7p per 100ml,,Out of stock
Sharp's Doom Bar Exceptional Amber Ale 6 x 500ml,£9,£3.00 per litre,,Out of stock
Old Speckled Hen Low Alcohol 500ml,£1.30,£2.60 per litre,,Out of stock
